Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-04-22,49.0,50.0,48.5,50.0,49.3509090909,4950.0,67.0,244287.0,4830.0,97.58,1.5,1.0
2015-04-21,48.1,49.85,43.0,47.7,45.1646512694,17449.0,281.0,788078.0,11532.0,66.09,6.85,-0.4
2015-04-20,49.6,49.6,48.75,49.45,49.2913765399,1867.0,49.0,92027.0,1797.0,96.25,0.85,-0.15
2015-04-17,49.6,49.95,48.5,49.6,49.7190237797,4794.0,289.0,238353.0,4694.0,97.91,1.45,0.0
2015-04-16,49.75,49.95,49.0,49.6,49.4597994531,5485.0,291.0,271287.0,4405.0,80.31,0.95,-0.15
2015-04-15,49.0,50.0,47.85,49.8,48.7497640653,13775.0,274.0,671528.0,12220.0,88.71,2.15,0.8
2015-04-13,47.0,49.0,45.0,48.8,48.0603638726,15390.0,190.0,739649.0,15340.0,99.68,4.0,1.8
2015-04-10,48.0,48.0,46.0,47.95,47.1797297297,740.0,86.0,34913.0,740.0,100.0,2.0,-0.05
2015-04-09,45.0,49.0,45.0,47.95,47.0447268107,3935.0,75.0,185121.0,3800.0,96.57,4.0,2.95
2015-04-08,48.0,48.0,46.4,48.0,47.9278317152,3090.0,64.0,148097.0,2915.0,94.34,1.6,0.0
2015-04-07,49.35,49.35,47.0,47.9,48.1988597491,4385.0,111.0,211352.0,4285.0,97.72,2.35,-1.45
2015-04-06,48.0,49.1,47.0,48.95,48.8407340998,9481.0,143.0,463059.0,9220.0,97.25,2.1,0.95
2015-04-01,47.1,48.0,47.0,47.95,47.6232294618,1765.0,36.0,84055.0,1760.0,99.72,1.0,0.85
2015-03-31,47.75,47.75,47.0,47.4,47.4185,2000.0,44.0,94837.0,1000.0,50.0,0.75,-0.35
2015-03-30,48.0,48.0,47.95,47.95,47.952,250.0,15.0,11988.0,250.0,100.0,0.05,-0.05
2015-03-27,48.35,48.4,46.0,47.0,47.1713810316,6010.0,94.0,283500.0,5450.0,90.68,2.4,-1.35
2015-03-26,47.0,48.0,44.0,46.9,47.4774193548,3255.0,122.0,154539.0,3205.0,98.46,4.0,-0.1
2015-03-25,48.0,48.0,45.0,46.5,47.1306293706,3575.0,108.0,168492.0,3365.0,94.13,3.0,-1.5
2015-03-24,48.5,48.5,47.75,48.1,48.3,50.0,10.0,2415.0,50.0,100.0,0.75,-0.4
2015-03-23,49.0,49.0,46.0,46.8,47.2659793814,970.0,49.0,45848.0,620.0,63.92,3.0,-2.2
2015-03-20,49.3,49.45,47.5,48.4,48.2123989218,1855.0,92.0,89434.0,1560.0,84.1,1.95,-0.9
2015-03-19,49.0,49.5,48.0,49.05,49.288379983,2358.0,74.0,116222.0,1704.0,72.26,1.5,0.05
2015-03-18,48.5,49.25,48.0,49.1,48.3719525833,4471.0,158.0,216271.0,4336.0,96.98,1.25,0.6
2015-03-17,49.0,49.5,48.0,49.2,48.2038235737,6643.0,105.0,320218.0,5623.0,84.65,1.5,0.2
2015-03-16,48.0,49.35,47.5,49.05,48.7066287879,5280.0,187.0,257171.0,5090.0,96.4,1.85,1.05
